id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
633258,Hip sun drenched Windsor apartment,440653,Rob,,Stonnington,-37.85437,144.99488,Entire home/apt,74,2,17,2018-06-28,0.14,1,0,0,
1273635,Private double room in Melbourne,6692322,Barry,,Manningham,-37.78438,145.16477,Private room,106,1,1,2019-06-18,0.03,1,179,0,
1273768,Fortnightly  or Monthly Rental close to CBD,6933179,Alex,,Yarra,-37.80759,144.97821,Entire home/apt,86,14,47,2022-03-06,0.43,1,305,6,
639260,Fitzroy's Finest: A Colourful Pad with Parking,172878,Christopher,,Yarra,-37.80055,144.9765,Entire home/apt,219,1,136,2022-05-18,1.16,1,340,13,
1285174,Stylish Self Contained Bunkhouse,6992397,Leanne,,Yarra Ranges,-37.88091,145.51647,Entire home/apt,245,1,54,2022-04-25,0.54,3,342,6,
9835,Beautiful Room & House,33057,Manju,,Manningham,-37.77247,145.09232,Private room,60,1,4,2015-09-12,0.03,1,365,0,
641180,Cosy Inner City Studio Apartmnt. Spacious. Quiet.,3079228,Anthony,,Moreland,-37.77542,144.96894,Entire home/apt,110,3,335,2022-04-18,2.89,1,152,18,
653384,Need luxury homebase in Melbourne 2,2232579,Nola,,Boroondara,-37.80444,145.05374,Private room,100,1,13,2018-03-25,0.14,3,309,0,
10803,Room in Cool Deco Apartment in Brunswick East,38901,Lindsay,,Moreland,-37.76606,144.97951,Private room,36,4,147,2022-05-27,1.28,1,250,2,
1289142,Apartment with kitchen facilities,6992397,Leanne,,Yarra Ranges,-37.88058,145.51493,Private room,180,1,12,2022-04-18,0.12,3,342,1,
653386,Need Luxury Homebase in Melbourne 3,2232579,Nola,,Boroondara,-37.80509,145.05224,Private room,100,1,10,2018-02-20,0.11,3,309,0,
1289241,Creative 2 BR Home Brunswick Hub,6782184,Julia,,Moreland,-37.76158,144.97089,Entire home/apt,108,4,58,2022-02-01,0.53,2,15,3,
12936,St Kilda 1BR+BEACHSIDE+BALCONY+WIFI+AC,50121,The A2C Team,,Port Phillip,-37.85999,144.97662,Entire home/apt,95,3,42,2020-03-15,0.29,10,0,0,
33111,Million Dollar Views Over Melbourne,143550,Paul,,Melbourne,-37.82163,144.96672,Private room,1000,1,2,2012-01-27,0.02,1,365,0,
38271,Melbourne - Old Trafford Apartment,164193,Daryl & Dee,,Casey,-38.05725,145.33936,Entire home/apt,110,1,185,2022-05-28,1.32,1,327,24,
657209,** Cute Studio on Chapel St**best location,721348,Living Like Locals,,Port Phillip,-37.86177,144.992,Entire home/apt,85,3,109,2021-02-15,0.95,1,157,0,
41836,CLOSE TO CITY & MELBOURNE AIRPORT,182833,Diana,,Darebin,-37.69729,145.00082,Private room,40,7,159,2018-08-22,1.13,2,0,0,
1309634,The Little House on the Hill,7118998,Owen,,Yarra Ranges,-37.70204,145.53142,Entire home/apt,196,1,82,2021-07-06,0.76,1,340,1,
668738,Stylish Modern Apt_St Kilda Beach,3384635,Susan,,Port Phillip,-37.85947,144.98093,Entire home/apt,120,7,11,2015-09-09,0.10,1,248,0,
1320949,"Artistic, room in West Footscray",6689746,ChuPing,,Maribyrnong,-37.79897,144.87909,Private room,45,30,25,2019-03-18,0.28,1,0,0,
43429,Tranquil Javanese-Style Apartment in Oakleigh East,189684,Allan,,Monash,-37.8996,145.11447,Entire home/apt,99,2,225,2022-04-12,1.61,3,321,12,
671981,Sofabed in Yarraville - nice sub,3395313,Tyler,,Maribyrnong,-37.81507,144.88895,Shared room,100,1,0,,,1,365,0,
1321215,Stone's Throw Cottage B&B Belgrave,717024,Margaret,,Yarra Ranges,-37.90741,145.34919,Entire home/apt,220,2,25,2022-04-08,0.27,2,302,6,
690762,Room To Let Next to Chilsom Tafe,3529788,Thomas,,Greater Dandenong,-37.97413,145.21955,Private room,80,1,1,2014-03-01,0.01,1,0,0,
1321535,Room in Elsternwick 1920s home,2085706,Annie,,Glen Eira,-37.88935,145.00411,Private room,81,2,17,2018-11-18,0.22,1,125,0,
44082,Queen Room in Beautiful House,193031,Vicki,,Frankston,-38.14932,145.14157,Private room,79,5,54,2022-05-26,0.39,8,83,3,
691144,B&B Guest House with Pool Room 3,2616259,Peter,,Glen Eira,-37.89149,145.07704,Private room,68,2,22,2022-03-25,0.19,3,365,1,
51592,Central City Warehouse Apartment,190879,Michelle,,Melbourne,-37.81266,144.96313,Entire home/apt,269,2,343,2022-05-24,2.50,1,252,55,
66754,Richmond CITY EDGE 60s COOL 1BR+WIFI+AC,50121,The A2C Team,,Yarra,-37.82127,144.99408,Entire home/apt,94,3,70,2020-03-14,0.51,10,0,0,
692656,B&B Guest House with Pool Room 4,2616259,Peter,,Glen Eira,-37.89297,145.07552,Private room,62,2,33,2022-01-08,0.32,3,126,2,
67211,"Kew Tranquility, Melbourne",326880,Kate,,Boroondara,-37.80347,145.03583,Private room,45,2,189,2022-04-24,1.37,1,320,13,
692694,Windsor Pad with Private Courtyard,3542892,Saskia,,Stonnington,-37.8568,145.00065,Entire home/apt,165,5,75,2022-05-31,0.64,1,133,9,
69421,"Pet Friendly Warm Apmt , Clifton Hill, Melbourne",347754,Wendy,,Yarra,-37.78975,145.00469,Entire home/apt,180,2,1,2016-01-10,0.01,1,338,0,
1328207,inner city 1br with car space,7208325,Jenny,,Moreland,-37.77088,144.97016,Entire home/apt,120,3,165,2022-05-30,1.53,1,36,18,
712261,Charming 1930s Flat East St Kilda,738640,Chelle,,Port Phillip,-37.86928,144.99792,Entire home/apt,95,5,22,2020-12-21,0.19,1,66,0,
1333069,Forest Hill - Comfortable room。 Female only,7230448,Donna,,Whitehorse,-37.83931,145.17783,Private room,45,1,34,2022-06-02,0.32,2,357,10,
739896,3 Level Apartment with Rooftop!,3871035,Phil,,Moreland,-37.77056,144.97274,Entire home/apt,300,2,3,2014-01-03,0.03,1,0,0,
754134,‘COOL’ Apartment Awesome Location Melbourne CBD,3570625,Kim,,Melbourne,-37.8167,144.96608,Entire home/apt,193,5,92,2022-04-27,0.80,2,171,7,
1349937,SouthYarra SkyHigh(2br+WIFI+CARP),3721646,Jen And Alex,,Stonnington,-37.83699,144.99735,Entire home/apt,240,21,54,2020-01-01,0.50,47,231,0,
1352955,PARK SIDE PAD direct access to outside and porch,3377890,Bernadette,,Melbourne,-37.80705,144.96916,Entire home/apt,85,21,12,2022-04-30,0.11,2,311,2,
70004,King Single in Beautiful House,193031,Vicki,,Frankston,-38.14931,145.1419,Private room,69,5,36,2022-03-05,0.36,8,70,1,
762695,Richmond CENTRAL LOFT STYLE 1BR+PARKING+WIFI+AC,50121,The A2C Team,,Yarra,-37.81552,145.00116,Entire home/apt,99,3,78,2020-03-07,0.79,10,0,0,
74959,Blissful Beachside Port Melbourne Warehouse,395864,Linda,,Port Phillip,-37.84098,144.9364,Private room,90,2,108,2020-01-26,0.81,1,125,0,
1357009,SUN-FILLED WAREHOUSE APARTMENT,5273417,Anthony,,Stonnington,-37.84744,144.9914,Entire home/apt,136,3,98,2017-12-05,0.92,1,55,0,
